Official Symbol Interactor A,Official Symbol Interactor B
CARD6,XK
CARD6,CARD8
LTF,MUC7
TP73,RB1
GNB2L1,RB1
PML,MDM2
PML,MDM2
CHEK1,TP53
PRKDC,TP53
ARHGEF1,PIK3CA
PIK3CA,ARHGEF1
ING4,TP53
ING5,TP53
TP53,ING4
TP53,ING5
HBEGF,EGFR
VEGFA,KDR
BCAR1,PTPN12
RB1,CBX1
SOX2,PAX6
PAX6,SOX2
EGFR,TJP1
PKP3,DSG3
PKP3,DSG3
DDIT3,CEBPB
DDIT3,CEBPB
GNAQ,PIK3CA
GNAQ,PIK3R1
TP53,Hipk1
HIPK1,TP53
HIPK1,TP53
TP53,HIPK1
RB1,PELP1
RB1,PELP1
RELN,LRP8
RELN,VLDLR
MYC,TRRAP
S100A10,TRPV6
TP53RK,TP53
RCHY1,TP53
RCHY1,TP53
MDM2,NUMB
NUMB,MDM2
MDM2,NUMB
UBE2A,TP53
UBE2A,MDM2
UBE2A,CDKN2A
UBE2A,TP53
OBSCN,ANK1
NCOR1,TBL1XR1
TBL1XR1,NCOR1
NCOR1,TBL1XR1
TBL1XR1,HIST2H4A
TBL1XR1,HIST2H2BE
PARK2,FBXW7
FBXW7,PARK2
FBXW7,PARK2
PARK2,CUL1
PARK2,CUL1
PARK2,CCNE1
PARK2,CCNA1
DRD5,GNA13
DRD5,GNA12
PTEN,UBE2L3
PTEN,UBE2I
PTEN,TP53
TP53,PTEN
TP53,MDM2
BCAR1,DOCK1
CRK,BCAR1
BCAR1,SRC
BCAR1,DOCK1
BCAR1,CRK
DOCK1,BCAR1
PTK2,BCAR1
RRM2B,TP53
RRM2,TP53
MDC1,CHEK2
MDC1,CHEK2
FKBP2,CDKN2A
MDM2,HIF1A
HIF1A,MDM2
HIF1A,TP53
RB1,PIK3R3
RB1,PIK3R3
KAT5,MDM2
MDM2,KAT5
PPARG,RB1
PPARG,RB1
RB1,PPARG
HDAC3,RB1
NCOR1,TBL1XR1
RB1,RBBP4
RB1,E2F1
MORF4L1,RB1
MRFAP1,RB1
RB1,MORF4L1
RB1,MRFAP1
MORF4L1,RB1
MRFAP1,RB1
MORF4L1,RB1
RB1,E2F1
RB1,MORF4L1
NCOR1,TBL1XR1
HDAC3,TBL1XR1
MYC,TRRAP
MAX,TRRAP
KAT2A,TRRAP
MYC,TRRAP
Myc,TRRAP
MAX,TRRAP
E2F1,TRRAP
TRRAP,EP400
RB1,BRCA1
RB1,RBBP7
RB1,HDAC1
EP400,TRRAP
KAT2B,TRRAP
EP400,TRRAP
HDAC1,RB1
RB1,HDAC1
CDK2,RB1
HDAC1,MDM2
TP53,MDM2
MDM2,HDAC1
MDM2,HDAC1
TP53,MDM2
TP53,HDAC1
CREBBP,TP53
HDAC1,RB1
RB1,HDAC1
HDAC1,RB1
DNMT1,RB1
RB1,DNMT1
RB1,DNMT1
HDAC1,RB1
HDAC2,RB1
HDAC3,RB1
ARID4A,RB1
RB1,HDAC1
RB1,HDAC2
RB1,HDAC3
RB1,ARID4A
TP53,SMARCB1
TP53,SMARCA4
TP53,SMARCA4
TP53,SMARCB1
SMARCB1,TP53
TP53,SMARCB1
TP53,SMARCA4
TP53,SMARCC1
NFIX,RB1
SP1,RB1
RB1,HDAC1
BCOR,BCL6
BCOR,BCL6
BCOR,HDAC1
BCOR,HDAC3
BCOR,HDAC4
BCOR,HDAC6
BCL6,BCOR
Smarca4,RB1
RB1,Smarca4
RB1,SMARCA4
RB1,RBBP7
RB1,RBBP4
RB1,RBBP7
RB1,RBBP4
RB1,RBBP4
SIN3B,IKZF1
SIN3A,IKZF1
HDAC1,IKZF1
IKZF1,Sin3b
IKZF1,Sin3a
IKZF1,Ikzf3
IKZF1,Hdac1
MYOD1,RB1
SUMO1,TP53
UBE2I,TP53
CHD3,TP53
HIPK3,TP53
TDG,TP53
DNMT3A,RB1
MYC,TRRAP
RUVBL1,TRRAP
ACTL6A,TRRAP
ACTL6A,TRRAP
TP53,EP300
ING1,TRRAP
SIN3A,IKZF1
SIN3B,IKZF1
IKZF1,CHD4
IKZF1,SIN3A
IKZF1,SIN3B
IKZF1,HDAC2
IKZF1,HDAC4
IKZF1,HDAC5
IKZF1,HDAC7
HDAC1,IKZF1
HDAC3,IKZF1
HDAC5,IKZF1
HDAC7,IKZF1
EID1,RB1
EID1,RB1
EID1,MDM2
RB1,EID1
RB1,EID1
EID1,RB1
RB1,EID1
MDM4,SMAD3
MDM4,SMAD4
MDM4,EP300
MDM4,MDM2
TADA3,TP53
CSNK2A1,PTEN
CSNK2A2,PTEN
PTEN,CSNK2A1
PTEN,CSNK2A2
RB1,BRF1
CSNK2A1,RPL5
CREBBP,TP53
EP300,TP53
EP300,TP53
TP53,CREBBP
CREBBP,TP53
CREB1,TP53
TP53,CREB1
TP53,CREB1
TP53,HIPK2
HIPK2,TP53
HIPK2,TP53
TP53,HIPK2
KAT2B,TP53
MDM2,KAT2B
KAT2B,MDM2
KAT2B,MDM2
RB1,PRDM2
PRDM2,RB1
RB1,SUV39H1
SUV39H1,RB1
CBX5,RB1
RB1,SUV39H1
SUV39H1,RB1
RB1,SUV39H1
CBX4,RB1
RING1,RB1
RB1,CBX4
RB1,VDR
RB1,KDM5A
RB1,KDM5A
KDM5A,RB1
EZH2,ATRX
ATRX,EZH2
ATRX,EZH2
EZH2,ATRX
TP53,EP300
EP300,TP53
TP53,EP300
EP300,MDM2
MDM2,EP300
EP300,MDM2
EP300,TP53
MDM2,TP53
MDM2,EP300
PAN3,PABPC1
PABPC1,PAN3
PAN3,PABPC1
PRKACA,RYR2
PRKACG,RYR2
PRKACB,RYR2
RYR2,RYR2
RYR2,PRKACB
RYR2,PRKACG
RYR2,PRKAR2A
RYR2,PRKAR2B
RYR2,PPP1CA
RYR2,PPP1CB
RYR2,PPP1CC
RYR2,AKAP6
RYR2,PRKACA
MYC,MLH1
MLH1,PMS2
MLH1,MYC
MLH1,PMS2
MLH1,MYC
MYC,MLH1
GRB2,IQGAP1
GRB2,EGFR
GRB2,EPPK1
CHP2,SLC9A4
CHP1,SLC9A4
GRIN2A,PTK2B
RB1,CCND3
ASCC2,FAF1
ATP5C1,EGFR
BCAR1,E2F2
BCAR1,EFS
KIAA0087,TP53
NDUFA4L2,PARK2
MAPK9,XPNPEP1
MAPK9,XPO7
PARK2,RAC1
PARK2,RAD1
PTEN,UTP14A
RAB4A,TP53
THAP8,TP53
FAS,C14orf1
ARIH2,IL4R
ARPC3,CDKN2B
ATRX,CCSER2
ATRX,KIAA1377
ATRX,LUC7L2
ATRX,PTN
ATRX,PTPN4
BCAR1,FXYD6
BCAR1,PPP1R15A
BCAR1,Tuba1a
BCAR1,VPS11
CDKN2B,IKBKAP
CDKN2B,CCDC90B
CDKN2C,APLP1
CDKN2C,COPS6
CDKN2C,GDF9
CDKN2C,CCDC90B
CCDC106,TP53
IDH1,ZHX1
KCTD15,REN
MAPK9,ACP5
FAM173A,TP53
MLLT3,RBM48
MLLT3,EEF1A1
MLLT3,PTN
MLLT3,LRIF1
PAFAH1B2,PARK2
PFDN1,HIP1
PTEN,ANG
PTEN,CHGB
PTEN,COPS6
PTEN,HBA1
RGS2,PARK2
RPS10,HIP1
SGSM2,EGFR
S100A8,TP53
FAS,LRIF1
ZCCHC10,TP53
ANXA3,TP53
ARL3,TP53
ATF3,TP53
BCAR1,HSPA5
BCR,TP53
CCT5,TP53
CDK4,BAG6
CDK4,SETDB1
CDKN2B,KIAA1377
CDKN2C,RBM48
CDKN2C,DRAP1
CDKN2C,TLE1
COX17,TP53
DLEU1,TP53
FXYD6,TP53
GSTM4,TP53
HSPB1,TP53
EIF6,HIP1
MAPK9,KIAA1377
PNP,TP53
STX5,TP53
FAS,EEF1A1
WDR33,TP53
ARIH2,TP53
BTBD2,TP53
CCL18,TP53
CDC42,TP53
CDK4,CAPNS1
CDKN2C,LRIF1
EIF2S2,TP53
LAMA4,TP53
MAD2L1BP,TP53
MPHOSPH6,TP53
NHP2L1,CDKN2C
PAFAH1B3,TP53
PCDHA4,TP53
PPA1,TP53
PSMD11,TP53
SAT1,TP53
SERPINB9,TP53
SNRPN,TP53
SULT1E1,TP53
TK1,TP53
Tmsb4x,TP53
FAS,CRMP1
CDK4,CDKN2B
CDKN2C,TP53
CDKN2C,UNC119
ERH,TP53
ZNF24,TP53
GRB2,BCAR1
FAS,FASLG
RB1,E2F1
KIT,CD9
KIT,CD63
KIT,CD81
CD9,KIT
CD63,KIT
CD81,KIT
PTPRD,PPFIA1
PTPRD,PPFIA1
PIK3R1,WAS
PIK3R1,WAS
PDGFRA,PDGFA
PDGFRA,PDGFB
CDKN2A,CDK4
CDKN2A,SERTAD1
SERTAD1,CDK4
CDK4,CCND1
CDK6,CCND1
CDKN2A,CCND1
CDKN2A,SERTAD1
CCND1,CDK4
CALM1,IQGAP1
FRS2,PTPN11
INSR,FRS2
FRS2,PTPN11
PLAGL1,TP53
TP53,PLAGL1
FAS,FAS
FAS,RIPK1
IRS2,PIK3R1
CDK4,CDKN2A
CDK4,CDKN2A
CDK4,PCNA
CDK4,CDKN2A
CDK4,CCND1
THRB,TP53
RELN,VLDLR
ELL,TP53
ELL,TP53
TP53,ELL
ELL,TP53
TP53,ELL
KDR,CDH5
SHC1,KDR
BCAR1,PTPN12
PTPN12,BCAR1
PTPN12,BCAR1
CDKN2A,E4F1
E4F1,CDKN2A
TP53,CDKN2A
TP53,E4F1
PML,RB1
RB1,PML
RB1,PML
AKT1,BRAF
BRAF,AKT1
MAPK3,BRAF
AKT1,BRAF
ABL1,TP53
PDGFRA,PDGFC
PDGFRA,PDGFC
E2F1,MDM4
E2F1,MDM4
CRK,EPHA3
CDK6,CDKN2D
DDIT3,CEBPB
CEBPB,DDIT3
IKZF4,IKZF1
Grap2,EGFR
FCGR2A,PIK3R1
VAV1,PIK3R1
PIK3R1,VAV1
PIK3R1,VAV1
PIK3R1,GAB1
FURIN,Flna
FURIN,Flna
Flna,FURIN
BCAR1,SRC
FYN,GRIN2A
NCAM1,FGFR1
MUSK,SYNE1
SYNE1,MUSK
FN1,COL7A1
IL4R,SHC1
CPB2,A2M
WAS,EGFR
EGFR,WAS
A2M,ADAMTS1
PIK3R1,IRS1
ITGB3,ITGAV
GRB2,EGFR
CCND1,RB1
RB1,CCND1
TAF1,RB1
RB1,TAF1
KRAS,PIK3CA
HRAS,PIK3CA
PPP2CA,CDK6
PPP2CA,CDK6
PPM1B,CDK6
PPM1B,CDK6
CDK2,CDK6
F2,FGA
MDM2,TBP
MDM2,TAF1
FASLG,FN1
Ppp5c,CDC27
CDC27,Ppp5c
CDC16,CDC27
CDC27,PPP5C
RB1,PA2G4
PA2G4,RB1
ITGB3,PTK2
GSK3B,TP53
FAS,CASP10
BCAR1,SRC
BCAR1,FYN
BCAR1,NPHP1
NPHP1,BCAR1
TP53,HSP90AA1
EGF,EGFR
EGF,ERBB2
SH3KBP1,BCAR1
BCAR1,SH3KBP1
EGFR,INPPL1
SH3BP5,MAPK9
LRP1,A2M
DUSP3,EGFR
IRAK1,PRKCZ
EGFR,AREG
EGFR,EGF
GRB2,EGFR
SHC1,ERBB2
PIK3R1,PIK3CA
BRAF,RAP1GAP
TMPO,RB1
FAS,CASP8
FAS,CFLAR
TP53,TOP1
PIK3R1,RRAS2
RYR2,RYR3
RYR3,RYR2
RYR1,RYR2
SNTA1,DMD
SNTB2,DMD
GIT1,PCLO
GIT2,PCLO
PCLO,GIT1
PCLO,GIT1
PCLO,GIT1
GIT1,PCLO
FGF1,FGFR1
FGFR1,FGFR1
TP53,WWOX
PDGFRA,PDGFRB
PDGFRA,PDGFRA
SRI,RYR2
RYR2,SRI
IKZF1,IKZF4
IKZF1,IKZF5
IKZF5,IKZF1
PAK1,ERBB2
SMAD3,CDC27
SMAD2,CDC27
PTK2,EGFR
IPO13,RPL5
S100B,IQGAP1
IQGAP1,S100B
HRAS,BRAF
NFATC2,PRKCZ
PRKCZ,NFATC2
DYNLL1,DYNC1I1
DYNC1I1,DYNLL1
DYNC1I1,DYNLT1
DYNC1I1,DYNLT3
DDIT3,JUND
DDIT3,FOS
DDIT3,JUN
DDIT3,JUND
DDIT3,FOS
DDIT3,JUN
DDIT3,JUND
FLNB,ITGB3
FLNA,ITGB3
TNK2,GRB2
SLC9A2,SPTA1
IGFBP7,IGF1
IGFBP7,IGF2
ITGB3,ITGB3BP
KIT,GRB2
KIT,PIK3R1
KIT,PIK3R2
KIT,SOCS1
SOCS1,KIT
DSG3,JUP
EGFR,CBLB
EGFR,CBL
FIGF,KDR
DST,ERBB2IP
ERBB2IP,DST
FAS,PDCD6
FAS,PDCD6
PDCD6,FAS
IGFBP7,CHMP3
CHMP3,IGFBP7
IGFBP7,CHMP3
MLH3,MLH1
PMS2,MLH1
PMS1,MLH1
MLH1,PMS2
PMS2,MLH1
MLH1,PMS2
GRIN3B,GRIN2A
FN1,TGFBI
MKI67,KIF15
MKI67,KIF15
ATRX,RAD51
ATRX,RAD51
PTPN4,GRIN2A
PRELP,FBLN2
ERBB2IP,ERBB2
ERBB2IP,ERBB2
ERBB2,PICK1
ERBB2,ERBB2IP
ERBB2IP,ERBB2
PICK1,ERBB2
AXL,PIK3R1
TEC,KIT
DOK1,PIK3R1
KIT,CRKL
KIT,PIK3R1
KIT,PLCG1
KIT,INPP5D
KIT,YES1
IKZF2,IKZF1
TP53,BRF1
CBLC,EGFR
CDH1,EGFR
PTEN,PTK2
RB1,CCND1
GRB2,KIT
GRB7,KIT
ERBB2,PIK3R2
PIK3R1,EPOR
EPOR,PIK3R1
VAV1,PIK3R1
PIK3R1,VAV1
PIK3R1,VAV1
RB1,MYC
RB1,AATF
AATF,RB1
MAPK9,PRKD1
TGM2,RB1
HIP1,HTT
MDM2,TP53
MDM2,MDM2
POLA1,RB1
POLA1,RB1
STAT1,KIT
KIT,STAT1
STAT1,KIT
KIT,STAT1
CDC20,CDC27
SQSTM1,PRKCZ
TRAF6,PRKCZ
SNTB1,DMD
DMD,SNTB1
PIK3R1,KHDRBS1
TP53,ESR1
TP53,MDM2
ESR1,MDM2
RB1,ABL1
FN1,CXCL12
PRKDC,TP53
MAPK9,MAPK8IP1
MAPK9,MAPK8IP2
MAPK9,MAPK8IP1
MAPK9,MAPK8IP2
MAPK8IP2,MAPK9
MAPK14,EGFR
CACNA1C,RYR2
PKD1,FN1
ARRB2,MDM2
MDM2,ARRB2
FRK,RB1
FRK,RB1
DLG4,ERBB2
ERBB2,DLG4
DLG4,ERBB2
ERBB4,ERBB2
CDK4,CCND1
CDK4,CCND2
CDK4,CCND3
CDK6,CCND1
CDK6,CCND2
CDK6,CCND3
CDKN1B,CDK6
CDKN1B,CDK4
EGFR,CTNNB1
PIN1,CDC27
CDC27,PIN1
A2M,PAEP
A2M,PAEP
CDC27,MAD2L1
CDC27,CDC20
TP53,EIF2AK2
EIF2AK2,TP53
EIF2AK2,TP53
TP53,EIF2AK2
EIF2AK2,TP53
PDCD4,RPL5
RPL5,PDCD4
A2M,LEP
EGFR,SHC1
RB1,ATF2
CSNK2B,RPL5
S100A4,TP53
VAV1,EGFR
VAV2,EGFR
VAV3,EGFR
CBLB,PIK3R1
TP53,RAD51
RAD51,TP53
ERBB2,Errfi1
Errfi1,ERBB2
ERBB2,Errfi1
RB1,SNW1
SNW1,RB1
NRG1,ERBB2
LACRT,FN1
DMD,DAG1
GRM3,GRIP1
GRM3,PICK1
GRM3,SDCBP
GRM3,PICK1
GRM3,GRIP1
MAPK8,BCAR1
EGFR,STAT1
EGFR,STAT3
STAT5A,EGFR
SRC,EGFR
JAK2,EGFR
EGFR,JAK2
TP53,HMGB1
HMGB1,TP53
HMGB1,TP53
TP53,HMGB1
IGFBP3,FN1
CDK4,CCND3
RB1,ARID3B
IL1R1,PIK3R1
PIK3R1,IL1R1
LYN,BCAR1
PTK2B,BCAR1
BCAR1,LCK
BCAR1,HCK
HTT,EGFR
GRB14,PRKCZ
DAPK3,PRKCZ
TAL1,TRRAP
SH2D3C,BCAR1
IRS1,PIK3R1
MYOD1,RB1
RB1,MYOD1
EGFR,PTK6
KIT,CLTC
B2M,A2M
IGFBP7,VEGFA
CNOT7,CDK4
TP53,APEX1
WNT2,SFRP1
HNF4A,TP53
FBLN2,FBLN2
EGFR,PTK2B
EGFR,SRC
PIK3R1,EZR
EZR,PIK3R1
BCAN,FBLN2
ACAN,FBLN2
VCAN,FBLN2
JUP,ERBB2
CTNNB1,ERBB2
CTNNB1,ERBB2
NDN,TP53
TP53,NDN
PTEN,MVP
PTEN,MVP
MVP,PTEN
BCAR1,PIK3R1
PIK3R1,BCAR1
IL4R,PTPN6
IL4R,INPP5D
IL4R,SHC1
IL4R,PTPN11
GRB2,TNK2
TNK2,CDC42
EGFR,GRB2
GRB2,EGFR
EGFR,GRB2
RELN,RELN
CDK6,CDKN2A
BCAR3,BCAR1
MMP2,A2M
TEK,ANGPT1
TEK,ANGPT2
TEK,ANGPT1
TEK,ANGPT2
PLK3,TP53
TP53,PLK3
ERBB2IP,ERBB2
ERBB2IP,ERBB2
DOK2,EGFR
HTT,TP53
TP53,HTT
